pitcher,pitch_type,pitch_name,family,pitches,usage,whiff,putaway,velo
670280,FS,Splitter,Offspeed,267,0.3652530779753762,0.37575757575757573,0.3764705882352941,90.80299625468166
670280,CU,Curveball,Breaking,160,0.2188782489740082,0.39344262295081966,0.17647058823529413,76.67625000000001
670329,FF,4-Seam FB,Fastball,215,0.3338509316770186,0.23,0.14285714285714285,95.23767441860466
670329,CH,Changeup,Offspeed,179,0.2779503105590062,0.4897959183673469,0.34782608695652173,86.3145251396648
670329,SL,Slider,Breaking,136,0.2111801242236025,0.2898550724637681,0.4,88.77794117647058
670329,CU,Curveball,Breaking,114,0.17701863354037267,0.36538461538461536,0.5238095238095238,86.01491228070176
670912,FF,4-Seam FB,Fastball,57,0.36538461538461536,0.1724137931034483,0.07142857142857142,92.9719298245614
670912,SL,Slider,Breaking,38,0.24358974358974358,0.2857142857142857,0.0,82.94736842105263
670912,CU,Curveball,Breaking,35,0.22435897435897437,0.3125,0.14285714285714285,75.98571428571428
670950,FF,4-Seam FB,Fastball,404,0.6273291925465838,0.1267605633802817,0.15942028985507245,92.24554455445544
670950,CH,Changeup,Offspeed,190,0.2950310559006211,0.4810126582278481,0.3684210526315789,80.08052631578947
670950,SL,Slider,Breaking,50,0.07763975155279502,0.3181818181818182,0.16666666666666666,84.94800000000001
670970,SI,Sinker,Fastball,402,0.459954233409611,0.1951219512195122,0.11666666666666667,99.49054726368159
670970,SL,Slider,Breaking,178,0.2036613272311213,0.28125,0.25,89.23932584269663
670970,CH,Changeup,Offspeed,176,0.20137299771167047,0.5277777777777778,0.4444444444444444,92.06761363636363
670970,FF,4-Seam FB,Fastball,118,0.13501144164759726,0.5068493150684932,0.4090909090909091,99.22881355932202
670990,ST,Sweeper,Breaking,315,0.3507795100222717,0.3722627737226277,0.36,84.29015873015874
670990,SI,Sinker,Fastball,226,0.2516703786191537,0.13513513513513514,0.09090909090909091,96.35398230088495
670990,FF,4-Seam FB,Fastball,222,0.24721603563474387,0.23148148148148148,0.30952380952380953,96.54279279279278
670990,CU,Curveball,Breaking,128,0.14253897550111358,0.32653061224489793,0.2857142857142857,84.3203125
671083,FA,Fastball,Fastball,39,1.0,0.058823529411764705,0.0,64.59230769230768
671096,FF,4-Seam FB,Fastball,973,0.4664429530201342,0.13948497854077252,0.10880829015544041,92.57656731757451
671096,ST,Sweeper,Breaking,427,0.20469798657718122,0.3105022831050228,0.3125,82.17189695550351
671096,CH,Changeup,Offspeed,374,0.17929050814956854,0.3693181818181818,0.2826086956521739,85.93208556149735
671096,CU,Curveball,Breaking,274,0.13135186960690318,0.22340425531914893,0.26666666666666666,79.67518248175182
671096,FC,Cutter,Fastball,38,0.01821668264621285,0.5454545454545454,0.5,88.84736842105262
671106,FF,4-Seam FB,Fastball,71,0.285140562248996,0.18421052631578946,0.19047619047619047,90.47183098591549
671106,FC,Cutter,Fastball,63,0.25301204819277107,0.20588235294117646,0.25,85.01428571428569
671106,SI,Sinker,Fastball,51,0.20481927710843373,0.041666666666666664,0.125,89.35686274509804
671106,ST,Sweeper,Breaking,40,0.1606425702811245,0.2857142857142857,0.0,78.3625
671109,FF,4-Seam FB,Fastball,34,0.6071428571428571,0.047619047619047616,0.0,95.00588235294116
671212,SL,Slider,Breaking,118,0.35014836795252224,0.27450980392156865,0.2,89.02711864406778
671212,FF,4-Seam FB,Fastball,80,0.23738872403560832,0.3142857142857143,0.46153846153846156,97.0075
671212,SI,Sinker,Fastball,54,0.16023738872403562,0.14285714285714285,0.0,97.1148148148148
671212,FS,Splitter,Offspeed,49,0.14540059347181009,0.32142857142857145,0.25,92.57551020408162
671212,ST,Sweeper,Breaking,36,0.10682492581602374,0.25,0.3333333333333333,85.11111111111113
671382,FF,4-Seam FB,Fastball,110,0.582010582010582,0.22916666666666666,0.21052631578947367,96.11999999999999
671382,SL,Slider,Breaking,41,0.21693121693121692,0.29411764705882354,0.1111111111111111,84.0219512195122
671382,FC,Cutter,Fastball,38,0.20105820105820105,0.38095238095238093,0.4,89.86315789473686
671737,FF,4-Seam FB,Fastball,908,0.4773922187171398,0.14746543778801843,0.14189189189189189,96.906718061674
671737,FC,Cutter,Fastball,455,0.2392218717139853,0.38235294117647056,0.37,89.67032967032966
671737,FS,Splitter,Offspeed,370,0.19453207150368035,0.38095238095238093,0.2698412698412698,91.27864864864867
671737,CU,Curveball,Breaking,169,0.08885383806519453,0.3684210526315789,0.38461538461538464,81.92899408284023
671922,FF,4-Seam FB,Fastball,521,0.6158392434988179,0.28,0.20833333333333334,96.92380038387716
671922,FS,Splitter,Offspeed,217,0.2565011820330969,0.4642857142857143,0.39285714285714285,86.47649769585254
671922,ST,Sweeper,Breaking,108,0.1276595744680851,0.3888888888888889,0.45454545454545453,85.22870370370373
671936,SL,Slider,Breaking,154,0.4117647058823529,0.35064935064935066,0.13333333333333333,85.35584415584415
671936,FF,4-Seam FB,Fastball,147,0.393048128342246,0.273972602739726,0.14285714285714285,94.5061224489796
671936,CH,Changeup,Offspeed,43,0.11497326203208556,0.4375,0.4444444444444444,84.43720930232558
671936,KC,Knuckle-Curve,Breaking,30,0.08021390374331551,0.5,0.3333333333333333,78.8
672021,SL,Slider,Breaking,49,0.4016393442622951,0.5294117647058824,0.5555555555555556,84.19795918367346
672021,FF,4-Seam FB,Fastball,45,0.36885245901639346,0.16666666666666666,0.3333333333333333,94.4888888888889
672282,FF,4-Seam FB,Fastball,870,0.447070914696814,0.2247191011235955,0.17543859649122806,94.12344827586206
672282,SL,Slider,Breaking,638,0.3278520041109969,0.3498452012383901,0.3741935483870968,86.14999999999999
672282,CU,Curveball,Breaking,206,0.10585817060637205,0.3698630136986301,0.34375,72.36941747572814
672282,CH,Changeup,Offspeed,200,0.10277492291880781,0.31521739130434784,0.2916666666666667,83.6415
672282,SI,Sinker,Fastball,31,0.01593011305241521,0.07142857142857142,0.25,93.50645161290323
672335,SV,Slurve,Breaking,196,0.3010752688172043,0.3617021276595745,0.3695652173913043,85.73163265306123
672335,SI,Sinker,Fastball,195,0.2995391705069124,0.12643678160919541,0.13636363636363635,96.66000000000001
672335,CU,Curveball,Breaking,133,0.20430107526881722,0.296875,0.3333333333333333,85.48345864661654
672335,FF,4-Seam FB,Fastball,127,0.19508448540706605,0.21818181818181817,0.17391304347826086,96.7259842519685
672442,FF,4-Seam FB,Fastball,50,0.5681818181818182,0.1935483870967742,0.16666666666666666,100.44
672456,FF,4-Seam FB,Fastball,452,0.31520223152022314,0.13392857142857142,0.10975609756097561,94.28584070796461
672456,SI,Sinker,Fastball,330,0.2301255230125523,0.09554140127388536,0.10256410256410256,94.72878787878788
672456,SL,Slider,Breaking,253,0.17642956764295675,0.296,0.34,85.86442687747036
672456,KC,Knuckle-Curve,Breaking,201,0.1401673640167364,0.20408163265306123,0.18181818181818182,80.52935323383085
672456,CH,Changeup,Offspeed,197,0.13737796373779637,0.24742268041237114,0.23529411764705882,87.00558375634517
672582,SI,Sinker,Fastball,155,0.6681034482758621,0.19047619047619047,0.22727272727272727,95.54451612903226
672582,SL,Slider,Breaking,47,0.2025862068965517,0.13043478260869565,0.14285714285714285,87.11702127659575
672782,FF,4-Seam FB,Fastball,332,0.44266666666666665,0.24675324675324675,0.24561403508771928,95.30150602409638
672782,ST,Sweeper,Breaking,178,0.23733333333333334,0.37209302325581395,0.34782608695652173,84.09662921348314
672782,FC,Cutter,Fastball,126,0.168,0.16666666666666666,0.18181818181818182,91.3380952380952
672782,SI,Sinker,Fastball,85,0.11333333333333333,0.13953488372093023,0.16666666666666666,93.94235294117648
673513,FF,4-Seam FB,Fastball,222,0.37373737373737376,0.2692307692307692,0.26666666666666666,91.9126126126126
673513,SL,Slider,Breaking,172,0.2895622895622896,0.4507042253521127,0.4375,85.40232558139535
673513,FS,Splitter,Offspeed,154,0.25925925925925924,0.4943820224719101,0.35555555555555557,83.22337662337662
673540,FF,4-Seam FB,Fastball,308,0.3627797408716137,0.1836734693877551,0.2708333333333333,96.12435064935065
673540,FO,Forkball,Offspeed,203,0.23910482921083628,0.4157303370786517,0.4,83.12906403940887
673540,FC,Cutter,Fastball,145,0.1707891637220259,0.23076923076923078,0.0,89.78206896551725
673540,ST,Sweeper,Breaking,82,0.09658421672555949,0.2692307692307692,0.16666666666666666,81.0780487804878
673540,SL,Slider,Breaking,74,0.08716136631330977,0.44680851063829785,0.46153846153846156,86.35135135135135
673540,SI,Sinker,Fastball,33,0.038869257950530034,0.08333333333333333,0.5,89.48181818181817
673929,FF,4-Seam FB,Fastball,183,0.5140449438202247,0.19801980198019803,0.1590909090909091,95.7693989071038
673929,SL,Slider,Breaking,147,0.41292134831460675,0.35714285714285715,0.4,87.1591836734694
674370,FF,4-Seam FB,Fastball,101,0.28450704225352114,0.1875,0.14285714285714285,94.58712871287128
674370,SI,Sinker,Fastball,79,0.22253521126760564,0.1,0.1111111111111111,95.03417721518987
674370,SL,Slider,Breaking,78,0.21971830985915494,0.2903225806451613,0.1,87.0320512820513
674370,ST,Sweeper,Breaking,76,0.2140845070422535,0.42105263157894735,0.3125,85.35394736842105
674444,FF,4-Seam FB,Fastball,338,0.5868055555555556,0.31976744186046513,0.2807017543859649,98.14852071005919
674444,FC,Cutter,Fastball,147,0.2552083333333333,0.358974358974359,0.4090909090909091,93.24761904761904
674444,SL,Slider,Breaking,88,0.1527777777777778,0.28205128205128205,0.19230769230769232,88.94204545454545
674841,CU,Curveball,Breaking,272,0.29278794402583425,0.312,0.3333333333333333,82.9466911764706
674841,FF,4-Seam FB,Fastball,263,0.2831001076426265,0.1452991452991453,0.2,92.37832699619771
674841,SL,Slider,Breaking,236,0.25403659849300325,0.3728813559322034,0.3157894736842105,84.00466101694914
674841,SI,Sinker,Fastball,131,0.14101184068891282,0.1702127659574468,0.0,91.92137404580151
675512,FF,4-Seam FB,Fastball,296,0.37420986093552466,0.20689655172413793,0.18,96.27364864864865
675512,FC,Cutter,Fastball,162,0.20480404551201012,0.2597402597402597,0.375,92.15061728395061
675512,SL,Slider,Breaking,142,0.179519595448799,0.325,0.375,86.53169014084507
675512,SI,Sinker,Fastball,76,0.09608091024020228,0.2894736842105263,0.16666666666666666,95.69342105263159
675512,FS,Splitter,Offspeed,72,0.09102402022756005,0.28125,0.2,88.74861111111112
675512,CU,Curveball,Breaking,43,0.05436156763590392,0.3888888888888889,0.5,78.18837209302325
675540,FF,4-Seam FB,Fastball,33,0.34375,0.25,0.375,90.72727272727275
675660,FF,4-Seam FB,Fastball,380,0.30063291139240506,0.296875,0.2692307692307692,94.77078947368419
675660,SL,Slider,Breaking,256,0.20253164556962025,0.36428571428571427,0.3333333333333333,85.82265625
675660,SI,Sinker,Fastball,248,0.1962025316455696,0.14414414414414414,0.21428571428571427,94.63709677419355
675660,CU,Curveball,Breaking,174,0.13765822784810128,0.2857142857142857,0.25,79.97241379310346
675660,FC,Cutter,Fastball,140,0.11075949367088607,0.15853658536585366,0.16666666666666666,90.26071428571429
675660,CH,Changeup,Offspeed,66,0.05221518987341772,0.4444444444444444,0.26666666666666666,84.8151515151515
675848,FF,4-Seam FB,Fastball,415,0.5,0.205607476635514,0.1717171717171717,97.37975903614458
675848,ST,Sweeper,Breaking,308,0.3710843373493976,0.4,0.2727272727272727,84.41525974025973
675848,SI,Sinker,Fastball,58,0.06987951807228916,0.1935483870967742,0.14285714285714285,96.03448275862067
675911,FF,4-Seam FB,Fastball,329,0.4761215629522431,0.18292682926829268,0.16071428571428573,95.1322188449848
675911,SL,Slider,Breaking,191,0.276410998552822,0.3979591836734694,0.28205128205128205,83.965445026178
675911,CU,Curveball,Breaking,100,0.1447178002894356,0.4857142857142857,0.42857142857142855,78.03099999999999
675911,CH,Changeup,Offspeed,71,0.10274963820549927,0.52,0.5,85.51830985915493
675916,FF,4-Seam FB,Fastball,98,0.6049382716049383,0.24444444444444444,0.2222222222222222,94.98979591836736
675916,CU,Curveball,Breaking,64,0.3950617283950617,0.3157894736842105,0.14285714285714285,84.0078125
675919,ST,Sweeper,Breaking,31,0.41333333333333333,0.058823529411764705,0.0,82.84838709677419
675989,FF,4-Seam FB,Fastball,111,0.28388746803069054,0.25,0.34782608695652173,94.8252252252252
675989,FC,Cutter,Fastball,93,0.23785166240409208,0.1891891891891892,0.3333333333333333,90.70860215053763
675989,SI,Sinker,Fastball,59,0.15089514066496162,0.1,0.0,94.50508474576272
675989,CU,Curveball,Breaking,45,0.11508951406649616,0.0,0.0,79.19555555555554
675989,CH,Changeup,Offspeed,42,0.10741687979539642,0.26666666666666666,0.0,89.49285714285713
675989,ST,Sweeper,Breaking,41,0.10485933503836317,0.3,0.18181818181818182,82.12439024390244
676051,FF,4-Seam FB,Fastball,102,0.4340425531914894,0.09090909090909091,0.0625,95.6745098039216
676051,SL,Slider,Breaking,80,0.3404255319148936,0.42857142857142855,0.3076923076923077,86.58624999999999
676051,CH,Changeup,Offspeed,52,0.22127659574468084,0.5909090909090909,0.5,87.08269230769231
676083,FF,4-Seam FB,Fastball,418,0.34545454545454546,0.13846153846153847,0.13253012048192772,94.20550239234448
676083,SL,Slider,Breaking,269,0.22231404958677686,0.16296296296296298,0.1702127659574468,86.37881040892194
676083,CH,Changeup,Offspeed,229,0.18925619834710744,0.32038834951456313,0.18181818181818182,87.2703056768559
676083,ST,Sweeper,Breaking,165,0.13636363636363635,0.1797752808988764,0.17647058823529413,80.2369696969697
676083,CU,Curveball,Breaking,85,0.07024793388429752,0.14705882352941177,0.2222222222222222,80.86823529411764
676083,SI,Sinker,Fastball,44,0.03636363636363636,0.07692307692307693,0.0,93.60454545454546
676105,SL,Slider,Breaking,37,0.46835443037974683,0.3333333333333333,0.14285714285714285,87.81891891891891
676105,FF,4-Seam FB,Fastball,33,0.4177215189873418,0.2222222222222222,0.4,95.35454545454544
676106,FF,4-Seam FB,Fastball,608,0.37858032378580325,0.25136612021857924,0.24324324324324326,95.38453947368421
676106,SI,Sinker,Fastball,377,0.23474470734744707,0.12135922330097088,0.14285714285714285,94.8315649867374
676106,ST,Sweeper,Breaking,297,0.18493150684931506,0.37037037037037035,0.31746031746031744,77.21818181818183
676106,FC,Cutter,Fastball,197,0.12266500622665007,0.3058823529411765,0.1724137931034483,85.59340101522841
676106,CH,Changeup,Offspeed,87,0.05417185554171856,0.18181818181818182,0.16666666666666666,87.2367816091954
676106,CU,Curveball,Breaking,40,0.024906600249066,0.4444444444444444,0.4117647058823529,75.7375
676254,SI,Sinker,Fastball,343,0.6765285996055227,0.12837837837837837,0.14545454545454545,95.21924198250728
676254,SL,Slider,Breaking,150,0.2958579881656805,0.20588235294117646,0.13333333333333333,82.97266666666668
676263,FF,4-Seam FB,Fastball,311,0.46766917293233085,0.28125,0.2857142857142857,93.84437299035369
676263,SL,Slider,Breaking,257,0.38646616541353385,0.2748091603053435,0.25,88.68754863813228
676263,CU,Curveball,Breaking,97,0.14586466165413534,0.2647058823529412,0.23529411764705882,81.01030927835052
676282,FF,4-Seam FB,Fastball,660,0.3536977491961415,0.14015151515151514,0.14285714285714285,92.03560606060606
676282,CH,Changeup,Offspeed,509,0.2727759914255091,0.4150197628458498,0.35714285714285715,80.69076620825149
676282,CU,Curveball,Breaking,487,0.2609860664523044,0.3893805309734513,0.3274336283185841,79.91190965092403
676282,SL,Slider,Breaking,114,0.06109324758842444,0.2711864406779661,0.05555555555555555,82.81315789473685
676282,FC,Cutter,Fastball,96,0.05144694533762058,0.2653061224489796,1.0,87.22916666666667
676395,FF,4-Seam FB,Fastball,91,0.4527363184079602,0.30434782608695654,0.21052631578947367,94.19450549450548
