batter,pitch_type,pitch_name,family,pitches,whiff,slg,xwoba
592450,SL,Slider,Breaking,193,0.34444444444444444,0.32432432432432434,0.2698644634146341
592450,SI,Sinker,Fastball,187,0.12307692307692308,0.7352941176470589,0.5410522325581396
592450,CH,Changeup,Offspeed,171,0.3918918918918919,0.34285714285714286,0.32302007499999996
592450,FC,Cutter,Fastball,103,0.42,0.55,0.2893480909090909
592450,ST,Sweeper,Breaking,95,0.2702702702702703,0.4166666666666667,0.40570276923076926
592450,CU,Curveball,Breaking,72,0.5161290322580645,0.5625,0.3673302352941176
592450,FS,Splitter,Offspeed,35,0.65,1.125,0.627875
592518,FF,4-Seam FB,Fastball,634,0.24437299035369775,0.6170212765957447,0.4107197987421383
592518,SI,Sinker,Fastball,417,0.16062176165803108,0.31958762886597936,0.369209037735849
592518,SL,Slider,Breaking,275,0.3253968253968254,0.3968253968253968,0.24819916666666667
592518,ST,Sweeper,Breaking,263,0.366412213740458,0.2222222222222222,0.20909344262295082
592518,CH,Changeup,Offspeed,195,0.3076923076923077,0.2549019607843137,0.23828679629629632
592518,FC,Cutter,Fastball,166,0.1232876712328767,0.6071428571428571,0.4533853235294118
592518,CU,Curveball,Breaking,97,0.34146341463414637,0.10526315789473684,0.23414226086956524
592518,FS,Splitter,Offspeed,44,0.3181818181818182,0.1,0.23096783333333334
592518,KC,Knuckle-Curve,Breaking,34,0.29411764705882354,0.2222222222222222,0.2751111111111111
592626,FF,4-Seam FB,Fastball,516,0.2946058091286307,0.514018691588785,0.3809281764705883
592626,CH,Changeup,Offspeed,240,0.3157894736842105,0.3225806451612903,0.2706922857142857
592626,SL,Slider,Breaking,187,0.43023255813953487,0.38095238095238093,0.28513965909090905
592626,SI,Sinker,Fastball,171,0.2602739726027397,0.6388888888888888,0.4120634772727273
592626,FC,Cutter,Fastball,139,0.3055555555555556,0.8461538461538461,0.48811053333333326
592626,CU,Curveball,Breaking,129,0.23214285714285715,0.23333333333333334,0.22985526666666667
592626,ST,Sweeper,Breaking,115,0.4146341463414634,0.8823529411764706,0.44882247619047616
592626,FS,Splitter,Offspeed,53,0.2692307692307692,0.36363636363636365,0.3135347857142857
592626,KC,Knuckle-Curve,Breaking,53,0.25806451612903225,0.4,0.26271172727272724
592663,FF,4-Seam FB,Fastball,428,0.1939655172413793,0.3425925925925926,0.3133467049180328
592663,SI,Sinker,Fastball,284,0.1267605633802817,0.3287671232876712,0.3823665064935065
592663,SL,Slider,Breaking,221,0.2976190476190476,0.5128205128205128,0.337967
592663,ST,Sweeper,Breaking,138,0.26666666666666666,0.28,0.2163931111111111
592663,CH,Changeup,Offspeed,127,0.34782608695652173,0.17857142857142858,0.3144165
592663,FC,Cutter,Fastball,102,0.37209302325581395,0.43478260869565216,0.3340835925925926
592663,CU,Curveball,Breaking,72,0.3225806451612903,0.29411764705882354,0.22438558823529414
592663,FS,Splitter,Offspeed,50,0.3103448275862069,0.2,0.24252454545454546
592663,KC,Knuckle-Curve,Breaking,25,0.5,0.0,0.4549145
592885,FF,4-Seam FB,Fastball,504,0.22362869198312235,0.3655913978494624,0.36355645000000003
592885,SI,Sinker,Fastball,318,0.16260162601626016,0.25862068965517243,0.32506277272727274
592885,SL,Slider,Breaking,277,0.488,0.2,0.19119581666666668
592885,FC,Cutter,Fastball,199,0.3173076923076923,0.43478260869565216,0.3382388936170213
592885,ST,Sweeper,Breaking,123,0.36363636363636365,0.38461538461538464,0.3250567619047619
592885,CH,Changeup,Offspeed,118,0.26,0.6296296296296297,0.2738413448275862
592885,CU,Curveball,Breaking,104,0.358974358974359,0.3333333333333333,0.23809523809523808
592885,FS,Splitter,Offspeed,47,0.375,1.0,0.45949999999999996
593428,SI,Sinker,Fastball,503,0.1278538812785388,0.3025210084033613,0.3268036838235294
593428,FF,4-Seam FB,Fastball,443,0.14646464646464646,0.4811320754716981,0.3914516470588235
593428,SL,Slider,Breaking,271,0.32967032967032966,0.19047619047619047,0.287178
593428,ST,Sweeper,Breaking,210,0.23809523809523808,0.4888888888888889,0.3636909615384616
593428,CH,Changeup,Offspeed,173,0.3780487804878049,0.14705882352941177,0.22214829729729726
593428,FC,Cutter,Fastball,124,0.16279069767441862,0.45454545454545453,0.4095938918918919
593428,CU,Curveball,Breaking,122,0.3877551020408163,0.12,0.15083957692307692
593428,FS,Splitter,Offspeed,46,0.47619047619047616,0.18181818181818182,0.15289875
593428,KC,Knuckle-Curve,Breaking,38,0.42105263157894735,0.2222222222222222,0.23222222222222225
593871,FF,4-Seam FB,Fastball,206,0.16326530612244897,0.1590909090909091,0.2609355348837209
593871,CH,Changeup,Offspeed,110,0.30357142857142855,0.15625,0.17299410344827587
593871,SI,Sinker,Fastball,81,0.125,0.12,0.23125948000000002
593871,SL,Slider,Breaking,65,0.2857142857142857,0.5,0.40843900000000005
593871,CU,Curveball,Breaking,48,0.5,0.125,0.01942857142857143
593871,FC,Cutter,Fastball,43,0.1111111111111111,0.16666666666666666,0.21966666666666668
593871,ST,Sweeper,Breaking,37,0.3076923076923077,1.0,0.3879
593871,FS,Splitter,Offspeed,35,0.4117647058823529,0.2,0.172
595879,FF,4-Seam FB,Fastball,109,0.23728813559322035,0.75,0.4904387142857143
595879,SI,Sinker,Fastball,92,0.16216216216216217,0.25,0.2748558636363636
595879,ST,Sweeper,Breaking,91,0.41379310344827586,0.2962962962962963,0.21136
595879,SL,Slider,Breaking,74,0.3125,0.21428571428571427,0.2043908
595879,CH,Changeup,Offspeed,56,0.3333333333333333,0.35,0.19766666666666666
595879,FC,Cutter,Fastball,41,0.13636363636363635,0.5,0.2592857142857143
595879,CU,Curveball,Breaking,38,0.4,0.18181818181818182,0.21080000000000002
595978,FF,4-Seam FB,Fastball,253,0.17647058823529413,0.41935483870967744,0.3171254492753623
595978,SI,Sinker,Fastball,137,0.07017543859649122,0.4722222222222222,0.3188987272727273
595978,SL,Slider,Breaking,116,0.28888888888888886,0.21739130434782608,0.24515241666666668
595978,FC,Cutter,Fastball,77,0.34210526315789475,0.5833333333333334,0.19506376923076924
595978,ST,Sweeper,Breaking,65,0.4375,0.14285714285714285,0.16226666666666667
595978,CH,Changeup,Offspeed,50,0.2692307692307692,0.38461538461538464,0.3518461538461538
595978,CU,Curveball,Breaking,38,0.45454545454545453,0.0,0.2193048333333333
596019,FF,4-Seam FB,Fastball,468,0.19909502262443438,0.31683168316831684,0.3468597297297297
