batter,family,pitches,whiff,slg,xwoba
643217,Fastball,767,0.2707317073170732,0.4606741573033708,0.3264601907216495
643217,Offspeed,289,0.3475177304964539,0.2631578947368421,0.27723544000000006
643289,Breaking,553,0.21532846715328466,0.4264705882352941,0.3009402877697841
643289,Fastball,1083,0.13745704467353953,0.3946360153256705,0.32092292673992673
643289,Offspeed,202,0.11570247933884298,0.29577464788732394,0.264951
643376,Breaking,207,0.34146341463414637,0.21621621621621623,0.13461764705882354
643376,Fastball,382,0.21739130434782608,0.2988505747126437,0.28200471287128714
643376,Offspeed,60,0.4444444444444444,0.5714285714285714,0.24223076923076922
643396,Breaking,157,0.2714285714285714,0.5,0.35857634375
643396,Fastball,312,0.0915032679738562,0.26744186046511625,0.28183823809523806
643396,Offspeed,66,0.25,0.26666666666666666,0.36252530769230773
643446,Breaking,338,0.22674418604651161,0.32894736842105265,0.32883151219512197
643446,Fastball,835,0.1310483870967742,0.3627906976744186,0.31949923684210524
643446,Offspeed,246,0.1891891891891892,0.3287671232876712,0.2492990273972603
644433,Breaking,68,0.42105263157894735,0.1,0.15845
644433,Fastball,110,0.11290322580645161,0.23333333333333334,0.18274999999999997
645277,Breaking,619,0.22969187675070027,0.3819444444444444,0.2717231582278481
645277,Fastball,1017,0.18861209964412812,0.4588744588744589,0.31594561153846157
645277,Offspeed,414,0.2157676348547718,0.3643410852713178,0.23036709016393442
645302,Breaking,202,0.3,0.3333333333333333,0.2596745853658537
645302,Fastball,295,0.11695906432748537,0.3780487804878049,0.30493013750000003
645302,Offspeed,59,0.47058823529411764,0.25,0.2323428823529412
645305,Breaking,56,0.2903225806451613,0.1875,0.281923125
645305,Fastball,165,0.21052631578947367,0.35714285714285715,0.23206188095238095
646240,Breaking,541,0.3029197080291971,0.38524590163934425,0.2877151428571429
646240,Fastball,1409,0.31268882175226587,0.5209790209790209,0.33253633542319744
646240,Offspeed,277,0.18571428571428572,0.4230769230769231,0.34395608749999995
647304,Breaking,531,0.3143939393939394,0.336,0.26515415748031496
647304,Fastball,919,0.09034907597535935,0.4432234432234432,0.345840301369863
647304,Offspeed,267,0.22535211267605634,0.1794871794871795,0.3243704712643678
649966,Breaking,88,0.075,0.42105263157894735,0.21760276190476194
649966,Fastball,110,0.11864406779661017,0.5,0.33805127586206896
650333,Breaking,489,0.100418410041841,0.4953271028037383,0.30457181739130434
650333,Fastball,1290,0.06771653543307087,0.44,0.31573256647398845
650333,Offspeed,221,0.08035714285714286,0.3333333333333333,0.2566386935483871
650391,Breaking,62,0.2647058823529412,0.4117647058823529,0.26593111764705885
650391,Fastball,78,0.3333333333333333,0.35714285714285715,0.2729041428571429
650402,Breaking,390,0.24060150375939848,0.38961038961038963,0.3418590117647059
650402,Fastball,819,0.23015873015873015,0.43529411764705883,0.3442442189054726
650402,Offspeed,139,0.24444444444444444,0.2916666666666667,0.25593772000000004
650489,Breaking,410,0.3257918552036199,0.40707964601769914,0.2809718333333333
650489,Fastball,981,0.2581888246628131,0.52,0.3734192545454545
650489,Offspeed,380,0.40186915887850466,0.27586206896551724,0.19224832584269663
650490,Breaking,552,0.12692307692307692,0.625,0.42175798750000004
650490,Fastball,1335,0.15064102564102563,0.39792387543252594,0.3258198306709265
650490,Offspeed,205,0.14285714285714285,0.45,0.3516542833333334
650559,Breaking,76,0.2777777777777778,0.5384615384615384,0.3285976923076923
650559,Fastball,108,0.2,0.5172413793103449,0.36796577777777784
